physical_unit_id	path	spot_count	index_fingerprint_sha256	fingerprint_status
HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33473.h5ad	93	aacc42518eff9ca81d9136c12a253aa5a2f179994b5681f2f78bde5984c4fbc5	INDEX_VALUE_PINNED
HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33474.h5ad	469	e4ab17bae24202d9efbd0efdb4ea4b401b6477c251ee4b1d9f948bf200ff008d	INDEX_VALUE_PINNED
HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84216.h5ad	282	9e79cacf387b6746e734d47ec72812c4b0be8823e78b2fcedd837a9c2b181c71	INDEX_VALUE_PINNED
HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84226.h5ad	412	b56fdb60bd4e2cc84dc33c74b14ab4496f27e8adcd025e71381f1250c250e300	INDEX_VALUE_PINNED
HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84594.h5ad	492	8ca8544d2e4a163b15f5146753436db51c8e4395c30427797e19bf2678479eae	INDEX_VALUE_PINNED
HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_3_filtered_trimmed_WD84221.h5ad	237	5a791337a92f4380d2354bc86355ada6185e0423fa13b112572645227034ce6b	INDEX_VALUE_PINNED
HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_3_filtered_trimmed_WD84596.h5ad	422	92672252e9bd40b362c8d02430f570e6c62d90411064aba7b9657977b6f0fddc	INDEX_VALUE_PINNED
HTAN::8578_AS_4_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_4_filtered_trimmed.h5ad	3708	b39febd933728a5080ec48db253cfac7b9a79dfff064a244826f704bf5c94ca4	INDEX_VALUE_PINNED
HTAN::8899_AS_1_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_1_filtered_trimmed.h5ad	4116	657fb41d0edb9416c011b1f906926f089c612479c24013ba0ae73bd1bbc80e60	INDEX_VALUE_PINNED
HTAN::8899_AS_2_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8899_AS_2_filtered_trimmed.h5ad	4078	7e83aa819a834237daa7d42225ef3180f86d98fa81c29bc28e23a5ae553f62aa	INDEX_VALUE_PINNED
