program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0054	0.247	nonmonotonic	0.0052
GO:GOBP_CALCIUM_ION_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0081	0.0996	nonmonotonic	0.0029
GO:GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	TLS_VISIUM_USZ::LC3	27	772	0.0036	0.434	nonmonotonic	0.0029
GO:GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0052	0.262	nonmonotonic	0.0024
GO:GOBP_CALCIUM_ION_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.001	0.857	nonmonotonic	0.0007
GO:GOBP_CALCIUM_MEDIATED_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0101	0.0505	high-to-low	0.0038
GO:GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.688	nonmonotonic	0.0022
GO:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.37	nonmonotonic	0.0029
GO:GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0092	0.0691	nonmonotonic	0.0049
GO:GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0061	0.193	nonmonotonic	0.0024
GO:GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0017	0.718	nonmonotonic	0.0019
GO:GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0086	0.0841	nonmonotonic	0.0015
GO:GOBP_CARBOHYDRATE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.003	0.509	nonmonotonic	0.0013
GO:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0062	0.186	low-to-high	0.0034
GO:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0002	0.984	nonmonotonic	0.0006
GO:GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0009	0.871	nonmonotonic	0.0007
GO:GOBP_CARDIAC_SEPTUM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.537	nonmonotonic	0.0031
GO:GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0053	0.249	flat	0.0048
GO:GOBP_CARTILAGE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0029	0.521	low-to-high	0.0026
GO:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0037	0.415	nonmonotonic	0.0015
GO:GOBP_CELLULAR_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0002	0.984	flat	0.0002
GO:GOBP_CELLULAR_RESPIRATION	TLS_VISIUM_USZ::LC3	27	772	0.0011	0.834	nonmonotonic	0.0021
GO:GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0053	0.255	nonmonotonic	0.0027
GO:GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	TLS_VISIUM_USZ::LC3	27	772	0.0018	0.701	low-to-high	0.0018
GO:GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0004	0.952	flat	0.0005
GO:GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0066	0.167	high-to-low	0.0022
GO:GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE	TLS_VISIUM_USZ::LC3	27	772	0.0092	0.0697	low-to-high	0.0095
GO:GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0017	0.732	nonmonotonic	0.0024
GO:GOBP_CELLULAR_RESPONSE_TO_LIPID	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.755	nonmonotonic	0.0008
GO:GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	TLS_VISIUM_USZ::LC3	27	772	0.0048	0.296	nonmonotonic	0.0023
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0058	0.218	nonmonotonic	0.0019
GO:GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS	TLS_VISIUM_USZ::LC3	27	772	0.0062	0.191	high-to-low	0.0042
GO:GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	TLS_VISIUM_USZ::LC3	27	772	0.0006	0.919	nonmonotonic	0.001
GO:GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0016	0.744	nonmonotonic	0.0006
GO:GOBP_CELLULAR_RESPONSE_TO_STARVATION	TLS_VISIUM_USZ::LC3	27	772	0.0169	0.00443	nonmonotonic	0.0076
GO:GOBP_CELLULAR_RESPONSE_TO_STRESS	TLS_VISIUM_USZ::LC3	27	772	0.0011	0.835	nonmonotonic	0.0005
GO:GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	TLS_VISIUM_USZ::LC3	27	772	0.0038	0.399	nonmonotonic	0.0051
GO:GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0004	0.957	low-to-high	0.0018
GO:GOBP_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0067	0.161	low-to-high	0.0019
GO:GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0073	0.13	flat	0.0041
GO:GOBP_CELL_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0107	0.0409	nonmonotonic	0.0018
GO:GOBP_CELL_CELL_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0009	0.874	nonmonotonic	0.0008
GO:GOBP_CELL_CELL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0002	0.981	nonmonotonic	0.0006
GO:GOBP_CELL_CELL_JUNCTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0016	0.744	nonmonotonic	0.0021
GO:GOBP_CELL_CELL_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0005	0.95	nonmonotonic	0.0003
GO:GOBP_CELL_CHEMOTAXIS	TLS_VISIUM_USZ::LC3	27	772	0.0018	0.702	nonmonotonic	0.0014
GO:GOBP_CELL_CYCLE	TLS_VISIUM_USZ::LC3	27	772	0.0003	0.969	nonmonotonic	0.0003
GO:GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0054	0.241	nonmonotonic	0.0039
GO:GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0052	0.261	high-to-low	0.0033
GO:GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0013	0.793	nonmonotonic	0.0019
GO:GOBP_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0051	0.271	nonmonotonic	0.002
GO:GOBP_CELL_CYCLE_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0076	0.118	high-to-low	0.0021
GO:GOBP_CELL_DIVISION	TLS_VISIUM_USZ::LC3	27	772	0.0025	0.584	nonmonotonic	0.0016
GO:GOBP_CELL_FATE_COMMITMENT	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.622	nonmonotonic	0.0014
GO:GOBP_CELL_GROWTH	TLS_VISIUM_USZ::LC3	27	772	0.002	0.666	nonmonotonic	0.0012
GO:GOBP_CELL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0003	0.973	high-to-low	0.0006
GO:GOBP_CELL_JUNCTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0014	0.778	nonmonotonic	0.0009
GO:GOBP_CELL_KILLING	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.698	flat	0.0011
GO:GOBP_CELL_MATRIX_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0213	0.000875	flat	0.0074
GO:GOBP_CELL_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0051	0.271	low-to-high	0.0015
GO:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	TLS_VISIUM_USZ::LC3	27	772	0.0017	0.73	flat	0.0009
GO:GOBP_CELL_MOTILITY	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.682	flat	0.0008
GO:GOBP_CELL_PROJECTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0014	0.775	nonmonotonic	0.0008
GO:GOBP_CELL_PROJECTION_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.615	nonmonotonic	0.0012
GO:GOBP_CELL_PROJECTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.539	nonmonotonic	0.0009
GO:GOBP_CELL_SUBSTRATE_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0046	0.313	nonmonotonic	0.002
GO:GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0067	0.159	nonmonotonic	0.0072
GO:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0123	0.0231	nonmonotonic	0.0035
GO:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0009	0.867	nonmonotonic	0.0009
GO:GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	TLS_VISIUM_USZ::LC3	27	772	0.0024	0.609	high-to-low	0.0031
GO:GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.371	nonmonotonic	0.001
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.691	nonmonotonic	0.0007
GO:GOBP_CHONDROCYTE_DIFFERENTIATION	TLS_VISIUM_USZ::LC3	27	772	0.0051	0.268	low-to-high	0.0054
GO:GOBP_CHROMATIN_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0112	0.0344	nonmonotonic	0.003
GO:GOBP_CHROMATIN_REMODELING	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.368	high-to-low	0.0021
GO:GOBP_CHROMOSOME_LOCALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0012	0.816	nonmonotonic	0.0015
GO:GOBP_CHROMOSOME_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.651	nonmonotonic	0.0016
GO:GOBP_CHROMOSOME_SEGREGATION	TLS_VISIUM_USZ::LC3	27	772	0.001	0.854	nonmonotonic	0.001
GO:GOBP_CHROMOSOME_SEPARATION	TLS_VISIUM_USZ::LC3	27	772	0.008	0.104	low-to-high	0.0067
GO:GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0032	0.477	low-to-high	0.0012
GO:GOBP_CIRCULATORY_SYSTEM_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0074	0.126	nonmonotonic	0.0016
GO:GOBP_COLLAGEN_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0069	0.152	nonmonotonic	0.0076
GO:GOBP_COLLAGEN_FIBRIL_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0048	0.297	nonmonotonic	0.0066
GO:GOBP_COLLAGEN_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0131	0.0175	nonmonotonic	0.0076
GO:GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.352	nonmonotonic	0.0068
GO:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0062	0.186	flat	0.0021
GO:GOBP_CYTOKINESIS	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.353	high-to-low	0.0036
GO:GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0096	0.0592	nonmonotonic	0.0028
GO:GOBP_CYTOKINE_PRODUCTION	TLS_VISIUM_USZ::LC3	27	772	0.0081	0.0993	nonmonotonic	0.0025
GO:GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0203	0.00127	low-to-high	0.0081
GO:GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0147	0.00973	nonmonotonic	0.0051
GO:GOBP_CYTOPLASMIC_TRANSLATION	TLS_VISIUM_USZ::LC3	27	772	0.0132	0.0167	high-to-low	0.0118
GO:GOBP_CYTOSKELETON_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0167	0.00469	nonmonotonic	0.0024
GO:GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	TLS_VISIUM_USZ::LC3	27	772	0.005	0.28	nonmonotonic	0.0025
GO:GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.658	nonmonotonic	0.001
GO:GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	TLS_VISIUM_USZ::LC3	27	772	0.0047	0.307	nonmonotonic	0.0013
GO:GOBP_DEFENSE_RESPONSE_TO_VIRUS	TLS_VISIUM_USZ::LC3	27	772	0.0024	0.611	low-to-high	0.0024
GO:GOBP_DETOXIFICATION	TLS_VISIUM_USZ::LC3	27	772	0.0141	0.0121	nonmonotonic	0.0052
GO:GOBP_DEVELOPMENTAL_GROWTH	TLS_VISIUM_USZ::LC3	27	772	0.0022	0.647	high-to-low	0.0011
GO:GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0049	0.29	low-to-high	0.0033
GO:GOBP_DEVELOPMENTAL_MATURATION	TLS_VISIUM_USZ::LC3	27	772	0.0078	0.11	nonmonotonic	0.0024
GO:GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.692	nonmonotonic	0.0007
GO:GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS	TLS_VISIUM_USZ::LC3	27	772	0.007	0.146	nonmonotonic	0.0029
GO:GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0027	0.563	nonmonotonic	0.0041
GO:GOBP_DIGESTIVE_SYSTEM_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0033	0.474	high-to-low	0.002
GO:GOBP_DNA_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0022	0.645	nonmonotonic	0.0022
GO:GOBP_DNA_DAMAGE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0005	0.947	high-to-low	0.0006
GO:GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0051	0.269	high-to-low	0.0044
GO:GOBP_DNA_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0039	0.394	nonmonotonic	0.0018
GO:GOBP_DNA_RECOMBINATION	TLS_VISIUM_USZ::LC3	27	772	0.0108	0.0398	nonmonotonic	0.0039
GO:GOBP_DNA_REPAIR	TLS_VISIUM_USZ::LC3	27	772	0.0032	0.487	high-to-low	0.0019
GO:GOBP_DNA_REPLICATION	TLS_VISIUM_USZ::LC3	27	772	0.0037	0.421	nonmonotonic	0.0023
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC3	27	772	0.0018	0.714	nonmonotonic	0.0048
GO:GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	TLS_VISIUM_USZ::LC3	27	772	0.0104	0.0455	low-to-high	0.014
GO:GOBP_DNA_TEMPLATED_DNA_REPLICATION	TLS_VISIUM_USZ::LC3	27	772	0.0017	0.735	high-to-low	0.002
GO:GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	TLS_VISIUM_USZ::LC3	27	772	0.0091	0.072	high-to-low	0.0048
GO:GOBP_DOUBLE_STRAND_BREAK_REPAIR	TLS_VISIUM_USZ::LC3	27	772	0.0013	0.8	high-to-low	0.0014
GO:GOBP_EAR_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.009	0.0745	nonmonotonic	0.0022
GO:GOBP_EAR_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0067	0.162	nonmonotonic	0.0029
GO:GOBP_ELECTRON_TRANSPORT_CHAIN	TLS_VISIUM_USZ::LC3	27	772	0.0084	0.0899	high-to-low	0.008
GO:GOBP_EMBRYONIC_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0038	0.407	nonmonotonic	0.0016
GO:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0078	0.111	nonmonotonic	0.0021
GO:GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0039	0.392	nonmonotonic	0.0022
GO:GOBP_EMBRYO_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0016	0.754	nonmonotonic	0.0007
GO:GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	TLS_VISIUM_USZ::LC3	27	772	0.0084	0.0906	nonmonotonic	0.0021
GO:GOBP_ENDOCYTOSIS	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.539	nonmonotonic	0.0016
GO:GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0038	0.403	high-to-low	0.0018
