section	patient	focus	focus_size	half_hops	seed	pos_cov	mhc2_pos	b_pos	mhc2_neg_med	b_neg_med	mhc2_hit	b_hit	n_neg
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	5.0	22	0.057	0.6742	0.2799	0.8808	0.2767	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	5.0	33	0.057	0.6742	0.2799	0.6564	0.2511	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	8.0	11	0.076	0.5848	0.2635	1.0326	0.3161	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	8.0	22	0.076	0.5848	0.2635	1.3837	0.3846	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	8.0	33	0.076	0.5848	0.2635	1.2738	0.3525	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	3.0	11	0.278	0.5228	0.2862	0.5441	0.2941	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	3.0	22	0.278	0.5228	0.2862	0.6374	0.288	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	3.0	33	0.278	0.5228	0.2862	0.7399	0.3397	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	5.0	11	0.204	0.4302	0.2683	0.9297	0.3121	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	5.0	22	0.204	0.4302	0.2683	0.7587	0.3136	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	5.0	33	0.204	0.4302	0.2683	1.2212	0.341	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	8.0	11	0.223	0.5705	0.319	0.8165	0.2768	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	8.0	22	0.223	0.5705	0.319	0.6557	0.279	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	6	9	8.0	33	0.223	0.5705	0.319	0.5503	0.3132	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	3.0	11	0.4	1.4006	0.6623	1.113	0.3117	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	3.0	22	0.4	1.4006	0.6623	0.5383	0.2244	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	3.0	33	0.4	1.4006	0.6623	1.4992	0.4532	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	5.0	11	0.245	1.0966	0.538	0.5167	0.2435	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	5.0	22	0.245	1.0966	0.538	0.7268	0.3108	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	5.0	33	0.245	1.0966	0.538	0.5725	0.2275	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	8.0	11	0.178	0.8268	0.4113	0.8143	0.3136	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	8.0	22	0.178	0.8268	0.4113	0.8916	0.3428	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	7	14	8.0	33	0.178	0.8268	0.4113	0.8613	0.2754	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	3.0	11	0.675	0.9055	0.4	0.3065	0.1966	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	3.0	22	0.675	0.9055	0.4	0.7144	0.3186	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	3.0	33	0.675	0.9055	0.4	0.8239	0.3731	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	5.0	11	0.467	0.7421	0.3437	0.438	0.2026	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	5.0	22	0.467	0.7421	0.3437	0.8111	0.2678	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	5.0	33	0.467	0.7421	0.3437	0.7286	0.3205	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	8.0	11	0.267	0.55	0.2979	0.7277	0.2595	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	8.0	22	0.267	0.55	0.2979	0.5372	0.2611	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	8	43	8.0	33	0.267	0.55	0.2979	0.907	0.3143	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	3.0	11	0.25	0.5984	0.2761	0.6854	0.2364	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	3.0	22	0.25	0.5984	0.2761	0.5386	0.2815	True	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	3.0	33	0.25	0.5984	0.2761	0.424	0.211	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	5.0	11	0.156	0.7012	0.2821	1.0589	0.3005	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	5.0	22	0.156	0.7012	0.2821	1.4167	0.3955	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	5.0	33	0.156	0.7012	0.2821	1.2757	0.379	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	8.0	11	0.183	0.7942	0.2941	1.2249	0.3589	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	8.0	22	0.183	0.7942	0.2941	1.0177	0.3428	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	9	9	8.0	33	0.183	0.7942	0.2941	1.0275	0.3284	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	3.0	11	0.556	0.8517	0.3053	1.2173	0.4389	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	3.0	22	0.556	0.8517	0.3053	0.8337	0.356	True	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	10	42	3.0	33	0.556	0.8517	0.3053	0.2676	0.1937	True	True	4
