program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC2	11	514	0.0212	0.012	flat	0.0159
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0726	2.21e-08	flat	0.01
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC2	11	514	0.0759	9.11e-09	flat	0.0161
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC2	11	514	0.085	7.75e-10	flat	0.0107
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC2	11	514	0.0176	0.0283	flat	0.0123
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC2	11	514	0.0163	0.0386	flat	0.0111
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0302	0.00135	flat	0.0131
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC2	11	514	0.0432	5.02e-05	flat	0.036
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC2	11	514	0.0315	0.000954	flat	0.0053
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.001	0.898	flat	0.0005
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC1	17	579	0.0366	8.43e-05	flat	0.0048
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC1	17	579	0.0285	0.000831	flat	0.004
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC1	17	579	0.0498	1.84e-06	flat	0.004
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC1	17	579	0.004	0.509	flat	0.0084
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC1	17	579	0.0166	0.0217	flat	0.0112
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC1	17	579	0.0017	0.8	flat	0.002
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC1	17	579	0.0306	0.000465	flat	0.0061
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC1	17	579	0.0021	0.749	flat	0.0015
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC1	17	579	0.0216	0.00565	flat	0.0072
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0189	0.0119	flat	0.0124
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC1	17	579	0.0029	0.638	flat	0.0035
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0025	0.69	flat	0.0015
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC1	17	579	0.0075	0.225	flat	0.0025
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC1	17	579	0.0052	0.388	flat	0.0016
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC1	17	579	0.0124	0.0657	flat	0.0024
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC1	17	579	0.0426	1.5e-05	flat	0.0149
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.006	0.322	flat	0.0045
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC1	17	579	0.0033	0.592	flat	0.0042
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC1	17	579	0.0021	0.755	flat	0.0011
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0214	3.21e-05	flat	0.0027
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC1	7	1088	0.0171	0.000316	flat	0.0018
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC1	7	1088	0.0093	0.0171	flat	0.0022
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC1	7	1088	0.0052	0.128	flat	0.0012
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC1	7	1088	0.0056	0.11	flat	0.0064
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::KC1	7	1088	0.0051	0.133	flat	0.0051
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC1	7	1088	0.0131	0.00246	flat	0.0062
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC1	7	1088	0.0158	0.000607	flat	0.0038
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC1	7	1088	0.0073	0.0474	flat	0.0033
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC1	7	1088	0.0059	0.0951	flat	0.0028
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0069	0.0566	flat	0.0069
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::KC1	7	1088	0.0166	0.000401	flat	0.009
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0018	0.593	flat	0.0014
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::KC1	7	1088	0.0043	0.195	flat	0.0012
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::KC1	7	1088	0.0075	0.0426	flat	0.0016
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::KC1	7	1088	0.0351	2e-08	flat	0.0062
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC1	7	1088	0.0092	0.0186	flat	0.0057
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0139	0.00166	flat	0.0065
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC1	7	1088	0.003	0.359	flat	0.004
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC1	7	1088	0.0274	1.31e-06	flat	0.0031
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0783	1.44e-05	flat	0.0127
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC5	7	312	0.081	9.28e-06	flat	0.0137
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC5	7	312	0.0128	0.264	flat	0.0036
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC5	7	312	0.0231	0.0651	flat	0.0036
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC5	7	312	0.0315	0.0196	flat	0.0306
