program	cohort	section	patient	baseline	mse_med	n_windows
P-epi	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	nn	0.08396	6
P-epi	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m1	0.03178	6
P-epi	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m2	0.03217	6
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	nn	0.38508	6
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m1	0.0621	6
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m2	0.05775	6
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	nn	0.02087	6
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m1	0.00406	6
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m2	0.00407	6
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	nn	0.25266	6
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m1	0.06071	6
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m2	0.05766	6
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	nn	0.10721	6
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m1	0.0271	6
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m2	0.03032	6
P-stress	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	nn	0.10009	6
P-stress	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m1	0.07693	6
P-stress	ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	m2	0.07553	6
