program	cohort	section	patient	baseline	mse_med	n_windows
P-plasma	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	nn	0.02263	10
P-plasma	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m1	0.00562	10
P-plasma	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m2	0.0056	10
P-smmhc	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	nn	0.04264	10
P-smmhc	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m1	0.02075	10
P-smmhc	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m2	0.02128	10
P-mhc2	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	nn	0.01807	10
P-mhc2	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m1	0.00937	10
P-mhc2	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m2	0.00936	10
P-stress	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	nn	0.01857	10
P-stress	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m1	0.00981	10
P-stress	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m2	0.00988	10
P-epi	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	nn	0.00503	12
P-epi	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m1	0.00349	12
P-epi	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m2	0.00356	12
P-stromal	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	nn	0.03038	12
P-stromal	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m1	0.01755	12
P-stromal	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m2	0.01674	12
P-plasma	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	nn	0.0307	12
P-plasma	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m1	0.00539	12
P-plasma	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m2	0.00537	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	nn	0.0353	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m1	0.01722	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m2	0.01779	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	nn	0.01434	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m1	0.00741	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m2	0.00692	12
P-stress	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	nn	0.01575	12
P-stress	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m1	0.00667	12
P-stress	USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	m2	0.00608	12
