program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC1	17	579	0.0176	0.0169	nonmonotonic	0.0096
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0115	0.0846	low-to-high	0.0137
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC1	17	579	0.0017	0.804	nonmonotonic	0.004
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0029	0.645	flat	0.0023
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC1	17	579	0.0007	0.934	nonmonotonic	0.001
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC1	17	579	0.0036	0.555	nonmonotonic	0.0014
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC1	17	579	0.0243	0.00272	nonmonotonic	0.0058
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC1	17	579	0.0081	0.198	nonmonotonic	0.0096
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0005	0.961	nonmonotonic	0.0016
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC1	17	579	0.0031	0.622	flat	0.0055
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC1	17	579	0.0134	0.051	low-to-high	0.0044
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0001	0.987	flat	0.0003
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC1	7	1088	0.002	0.537	nonmonotonic	0.0009
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC1	7	1088	0.0082	0.0304	nonmonotonic	0.0024
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC1	7	1088	0.0068	0.059	flat	0.0015
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC1	7	1088	0.0025	0.431	flat	0.0076
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::KC1	7	1088	0.0059	0.093	high-to-low	0.008
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC1	7	1088	0.0071	0.0515	nonmonotonic	0.0055
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC1	7	1088	0.0081	0.0315	nonmonotonic	0.004
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC1	7	1088	0.007	0.054	nonmonotonic	0.0046
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC1	7	1088	0.0108	0.00813	low-to-high	0.0053
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0028	0.377	nonmonotonic	0.0061
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::KC1	7	1088	0.0016	0.623	nonmonotonic	0.0033
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0024	0.455	nonmonotonic	0.0021
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::KC1	7	1088	0.0043	0.196	flat	0.0017
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::KC1	7	1088	0.0016	0.619	nonmonotonic	0.0014
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::KC1	7	1088	0.0105	0.00937	nonmonotonic	0.004
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC1	7	1088	0.0049	0.148	nonmonotonic	0.006
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0006	0.886	nonmonotonic	0.002
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC1	7	1088	0.0039	0.241	nonmonotonic	0.0065
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC1	7	1088	0.0044	0.188	nonmonotonic	0.0019
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0268	0.0387	low-to-high	0.0155
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC5	7	312	0.0015	0.927	low-to-high	0.0029
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC5	7	312	0.0126	0.271	nonmonotonic	0.0077
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC5	7	312	0.014	0.227	nonmonotonic	0.0059
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC5	7	312	0.0069	0.542	nonmonotonic	0.0312
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC5	7	312	0.0413	0.00461	nonmonotonic	0.0357
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC5	7	312	0.024	0.0581	low-to-high	0.0341
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC5	7	312	0.0038	0.759	nonmonotonic	0.0081
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC5	7	312	0.0723	3.74e-05	low-to-high	0.0588
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC5	7	312	0.0222	0.074	nonmonotonic	0.0332
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.038	0.00757	low-to-high	0.0625
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC5	7	312	0.0443	0.00294	nonmonotonic	0.0294
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0002	0.995	flat	0.0017
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC5	7	312	0.015	0.199	low-to-high	0.0165
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC5	7	312	0.0267	0.0393	low-to-high	0.0168
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC5	7	312	0.0073	0.522	nonmonotonic	0.0073
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC5	7	312	0.0201	0.0995	low-to-high	0.0391
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.031	0.0211	nonmonotonic	0.0334
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC5	7	312	0.0177	0.138	nonmonotonic	0.057
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC5	7	312	0.0958	8.17e-07	low-to-high	0.0275
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0059	0.42	nonmonotonic	0.0022
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC2	4	481	0.0087	0.242	flat	0.0024
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC2	4	481	0.0305	0.00203	flat	0.003
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC2	4	481	0.0577	3.02e-06	low-to-high	0.0033
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC2	4	481	0.0017	0.842	nonmonotonic	0.0061
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::KC2	4	481	0.0019	0.819	nonmonotonic	0.0053
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC2	4	481	0.01	0.185	nonmonotonic	0.0062
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC2	4	481	0.0044	0.547	nonmonotonic	0.0019
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC2	4	481	0.0373	0.000406	nonmonotonic	0.0039
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC2	4	481	0.0164	0.0487	high-to-low	0.009
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0421	0.00013	nonmonotonic	0.0231
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::KC2	4	481	0.0046	0.534	low-to-high	0.0064
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0195	0.0245	nonmonotonic	0.0054
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::KC2	4	481	0.0203	0.0203	nonmonotonic	0.0027
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::KC2	4	481	0.1365	4.11e-15	low-to-high	0.0068
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::KC2	4	481	0.0116	0.133	nonmonotonic	0.0029
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC2	4	481	0.005	0.499	nonmonotonic	0.0051
