program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC4	14	257	0.0459	0.00765	nonmonotonic	0.0027
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC4	14	257	0.0179	0.206	high-to-low	0.0137
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC4	14	257	0.0048	0.749	nonmonotonic	0.0047
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC4	14	257	0.0231	0.115	nonmonotonic	0.0059
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC4	14	257	0.0213	0.141	nonmonotonic	0.0032
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC4	14	257	0.035	0.029	nonmonotonic	0.0061
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC4	14	257	0.0086	0.533	nonmonotonic	0.0031
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0379	0.0203	nonmonotonic	0.0116
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC4	14	257	0.0155	0.267	nonmonotonic	0.0066
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0092	0.504	flat	0.0018
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC4	14	257	0.041	0.0139	high-to-low	0.0036
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC4	14	257	0.0483	0.00572	nonmonotonic	0.0032
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC4	14	257	0.0056	0.701	nonmonotonic	0.0019
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC4	14	257	0.0089	0.518	high-to-low	0.0053
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0036	0.82	low-to-high	0.0039
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC4	14	257	0.0185	0.193	high-to-low	0.0101
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC4	14	257	0.0187	0.188	nonmonotonic	0.0021
