# r16.field_registry.v1.1 (2026-09-15, D-118 tier1b + D-119 tier2j joint; grades capped at EXPLORATORY_REPRODUCED; CLAIM_CANDIDATE requires separate approval)
pattern_id	tier	kind	axis_name	lineage	n_sections	n_patients	resolution_support	top_markers	geometry	effect_size	null_type	null_draws	null_p	fdr_q	cross_patient_shape_corr	residual_dimension	uncertainty_ci95	evidence_grade	notes
R16P021	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	TFF3;TFF1;SLC25A5;HES6;LGALS4;FCGBP;SERF1A;ALDOA;XBP1;FAM153B	NA	0.635	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.91;best_axis=Epi(0.10)_UNEXPLAINED
R16P022	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	S100A6;COL1A2;PYGB;COL3A1;FAM153B;UBC;ITM2C;DEPRECATED_ENSG00000140264;FLNA;JUN	NA	0.516	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.71;best_axis=Epi(0.23)_UNEXPLAINED
R16P023	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	LYZ;PHGR1;ANXA2;KLK7;HTRA1;MT1G;TIMP2;GPRC5A;GREM1;COL16A1	NA	0.885	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.77;best_axis=Stromal(0.51)_explained
R16P024	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	MYH11;DES;MYL9;FLNA;TPM2;TAGLN;MYLK;ACTG2;ACTA2;SYNM	NA	0.711	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.87;best_axis=Stromal(0.44)_UNEXPLAINED
R16P025	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	2	2/3	S100A6;PABPC1;TPT1;TMSB10;KRT8;GSTP1;TSPAN8;DEPRECATED_ENSG00000140264;TMA7;CFL1	NA	0.397	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	EXPLORATORY_REPRODUCED	stable_frac=0.33;purity=0.80;best_axis=Epi(0.18)_UNEXPLAINED
R16P026	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	FN1;HIST1H1B;ACTA2;CHGA;EEF1G;RETNLB;EEF1A1;HIST1H4C;HIST1H4D;FLNA	NA	0.376	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.96;best_axis=Stromal(0.28)_UNEXPLAINED
R16P027	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	DCN;CFD;PTGDS;VIM;FBLN1;TNXB;FLNA;IGFBP7;C1R;COL1A2	NA	0.668	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.85;best_axis=Stromal(0.65)_explained
R16P028	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	FABP1;DEPRECATED_ENSG00000211890;IGKC;SLC26A3;JCHAIN;PHGR1;DES;CKB;IGHV3-35;IGLC3	NA	0.461	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.88;best_axis=Plasma(0.11)_UNEXPLAINED
R16P029	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	SPARC;COL1A1;BGN;IGHG1;COL3A1;IGKV3OR2-268;DEPRECATED_ENSG00000211892;IGKC;LUM;AEBP1	NA	0.791	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.87;best_axis=Plasma(0.97)_explained
R16P030	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	COL1A2;COL3A1;FN1;COL1A1;IGKC;IGKV3OR2-268;IGHG1;IGHG2;IFI6;DCN	NA	0.671	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=1.00;best_axis=Plasma(0.56)_explained
R16P031	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	CLCA1;ANO7;FCGBP;IFI27;TCEA3;CDC42EP5;CD74;HLA-E;MT2A;B2M	NA	0.553	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.75;best_axis=T(0.10)_UNEXPLAINED
R16P032	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	REG1B;SERPINA1;EEF1A1;EEF1G;GAPDH;C19orf33;DMBT1;REG1A;TFF1;SLC25A6	NA	0.588	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.77;best_axis=Plasma(0.29)_UNEXPLAINED
R16P033	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	PTGDS;SFRP2;C7;TXNIP;IGF1;FOS;DEPRECATED_ENSG00000170345;CCN1;FABP4;TPT1	NA	0.809	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.85;best_axis=Stromal(0.25)_UNEXPLAINED
R16P034	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	FN1;AEBP1;COL1A1;SPARC;COL1A2;COL3A1;BGN;MMP2;MYL9;DCN	NA	0.722	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.92;best_axis=Plasma(0.62)_explained
R16P035	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	IFI6;FCGBP;REG1A;HES6;SLC25A5;TFF3;IER3;S100A6;RAN;REG3A	NA	0.656	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.90;best_axis=Epi(0.15)_UNEXPLAINED
R16P036	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	2/3	TFF3;REG1A;SLC25A5;EIF5A;S100A6;FCGBP;RAN;HIST2H2BF;SPINK4;HIST1H1E	NA	0.718	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.77;best_axis=Epi(0.63)_explained
