evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
external_geo::GSM8452852::patient	physical_unit	external_geo::GSM8452852	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-2C	GSE274557::P2	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452852::physical_specimen	physical_unit	external_geo::GSM8452852	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154210	SAMN43154210	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452852::block_unknown	physical_unit	external_geo::GSM8452852	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452853::patient	physical_unit	external_geo::GSM8452853	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-3A	GSE274557::P3	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452853::physical_specimen	physical_unit	external_geo::GSM8452853	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154209	SAMN43154209	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452853::block_unknown	physical_unit	external_geo::GSM8452853	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452854::patient	physical_unit	external_geo::GSM8452854	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-3B	GSE274557::P3	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452854::physical_specimen	physical_unit	external_geo::GSM8452854	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154208	SAMN43154208	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452854::block_unknown	physical_unit	external_geo::GSM8452854	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452855::patient	physical_unit	external_geo::GSM8452855	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-3C	GSE274557::P3	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452855::physical_specimen	physical_unit	external_geo::GSM8452855	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154207	SAMN43154207	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452855::block_unknown	physical_unit	external_geo::GSM8452855	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452856::patient	physical_unit	external_geo::GSM8452856	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-4A	GSE274557::P4	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452856::physical_specimen	physical_unit	external_geo::GSM8452856	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154206	SAMN43154206	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452856::block_unknown	physical_unit	external_geo::GSM8452856	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452857::patient	physical_unit	external_geo::GSM8452857	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-4B	GSE274557::P4	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452857::physical_specimen	physical_unit	external_geo::GSM8452857	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154205	SAMN43154205	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452857::block_unknown	physical_unit	external_geo::GSM8452857	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452858::patient	physical_unit	external_geo::GSM8452858	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-4C	GSE274557::P4	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452858::physical_specimen	physical_unit	external_geo::GSM8452858	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154204	SAMN43154204	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452858::block_unknown	physical_unit	external_geo::GSM8452858	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452859::patient	physical_unit	external_geo::GSM8452859	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-4D	GSE274557::P4	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452859::physical_specimen	physical_unit	external_geo::GSM8452859	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154203	SAMN43154203	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452859::block_unknown	physical_unit	external_geo::GSM8452859	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452860::patient	physical_unit	external_geo::GSM8452860	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-5A	GSE274557::P5	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452860::physical_specimen	physical_unit	external_geo::GSM8452860	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154202	SAMN43154202	E2_corroborated	official GEO BioSample identifies physical specimen	false
