asset_id	source_namespace	accession	source_sample_id	path	asset_type	format	bytes	checksum_status	checksum	processing_level	parent_asset_id	record_status
HTAN::8270_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC			data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_4_filtered_trimmed.h5ad	processed_expression_container	h5ad	483531071	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	LOCAL_ONLY
HTAN::8270_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_5	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_5_filtered_trimmed.h5ad	processed_expression_container	h5ad	451241755	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_6_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_6	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_6_filtered_trimmed.h5ad	processed_expression_container	h5ad	152421765	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_7_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_7	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_7_filtered_trimmed.h5ad	processed_expression_container	h5ad	184006718	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_8_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_8	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_8_filtered_trimmed.h5ad	processed_expression_container	h5ad	105888054	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_9_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_9	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_9_filtered_trimmed.h5ad	processed_expression_container	h5ad	141818444	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	HTAN_VANDERBILT_CRC		8578_AS_1	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33469.h5ad	processed_expression_container	h5ad	93428072	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	HTAN_VANDERBILT_CRC		8578_AS_1	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33473.h5ad	processed_expression_container	h5ad	88868609	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	HTAN_VANDERBILT_CRC		8578_AS_1	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33474.h5ad	processed_expression_container	h5ad	95642877	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	HTAN_VANDERBILT_CRC		8578_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84216.h5ad	processed_expression_container	h5ad	95820648	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
