program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	93	9/9	0.3404	0.2039	0.0792	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	93	11/11	0.4328	0.3754	0.2099	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	93	3/3	0.335	0.2862	0.0143	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	93	2/2	0.6014	0.5557	0.2993	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	93	2/2	0.2816	0.0859	-0.0414	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN::8270_AS_1_filtered_trimmed.h5ad	830	16/16	0.6393	0.435	0.3098	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN::8270_AS_1_filtered_trimmed.h5ad	830	9/9	0.3547	0.2427	0.1177	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN::8270_AS_1_filtered_trimmed.h5ad	830	11/11	0.7691	0.7354	0.2857	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN::8270_AS_1_filtered_trimmed.h5ad	830	3/3	0.0924	0.0129	0.0055	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN::8270_AS_1_filtered_trimmed.h5ad	830	2/2	0.2948	0.1747	0.1132	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN::8270_AS_1_filtered_trimmed.h5ad	830	2/2	0.3509	0.234	0.1633	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_7_filtered_trimmed.h5ad	3731	16/16	0.7853	0.5623	0.3395	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_7_filtered_trimmed.h5ad	3731	9/9	0.7555	0.6559	0.3669	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_7_filtered_trimmed.h5ad	3731	11/11	0.7069	0.725	0.2599	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN::8899_AS_7_filtered_trimmed.h5ad	3731	3/3	0.7202	0.7118	0.5669	OK
