program	patient	n_sections	med_spots	med_moran_raw	med_moran_Q	med_moran_QC	status
P-stress	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	2	2897	0.8011	0.7115	0.5729	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	2	3077	0.5096	0.1180	0.0840	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	2	2585	0.6075	0.2796	0.2435	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	2	2034	0.5555	0.4926	0.3085	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	1	93	0.2816	0.0859	-0.0414	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	1	830	0.3509	0.2340	0.1633	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	2	3558	0.6467	0.5181	0.3565	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	2	1816	0.6791	0.2079	0.1839	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	1	3708	0.5987	0.5553	0.4613	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	1	2047	0.2583	0.1349	0.0793	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	2	2521	0.5470	0.4286	0.1994	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	4	3917	0.7265	0.6193	0.4706	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	3	4099	0.6324	0.5486	0.4079	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	2	4097	0.6215	0.4911	0.4497	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	1	495	0.4974	0.3998	0.1086	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	1	1014	0.1989	0.1283	0.0919	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	2	3260	0.7117	0.6311	0.5005	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	1	469	0.6839	0.6255	0.4757	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	1	370	0.6620	0.1223	0.1170	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	1	818	0.3202	0.2126	0.1565	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	2	3684	0.6465	0.5717	0.3999	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	1	581	0.6168	0.6199	0.3339	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	1	584	0.6574	0.4621	0.2332	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	2	3540	0.6691	0.6095	0.5241	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	1	229	0.4774	0.4059	0.3824	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	1	494	0.6438	0.4937	0.2738	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	1	1312	0.3795	0.1943	0.1830	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	2	2681	0.8599	0.5967	0.5390	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	1	4132	0.8039	0.7445	0.6119	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	1	665	0.3188	0.2364	0.0769	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	2	2897	0.6476	0.5038	0.2625	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	2	3077	0.7718	0.3707	0.2319	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	2	2585	0.7927	0.5315	0.2102	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	2	2034	0.5859	0.4506	0.1889	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	1	93	0.3404	0.2039	0.0792	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	1	830	0.3547	0.2427	0.1177	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	2	3558	0.7562	0.6683	0.3466	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	2	1816	0.7069	0.3865	0.2681	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	1	3708	0.5194	0.5167	0.1371	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	1	2047	0.7475	0.6799	0.2952	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	2	2521	0.7782	0.6100	0.3811	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	4	3917	0.7670	0.5542	0.2870	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	3	4099	0.5496	0.5058	0.2006	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	2	4097	0.7128	0.5684	0.1910	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	1	495	0.7525	0.6538	0.1889	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	1	1014	0.5109	0.4465	0.1264	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	2	3260	0.7945	0.7654	0.3130	OK
