atlas	synapse_id	filename	assay	biospecimen	destination	status	bytes	checksum	attempts	error	download_timestamp
WUSTL	syn61462082	HT225C1-Th1Fc1U5Z1B1-barcodes.tsv.gz	10X Visium	HTA12_132_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462082/HT225C1-Th1Fc1U5Z1B1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.6	2026-09-12T06:31:11
WUSTL	syn61462037	HT225C1-Th1Fc1U5Z1B1-features.tsv.gz	10X Visium	HTA12_132_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462037/HT225C1-Th1Fc1U5Z1B1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=6.9	2026-09-12T06:31:11
WUSTL	syn61462544	HT225C1-Th1Fc1U4Z1B1-matrix.mtx.gz	10X Visium	HTA12_132_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462544/HT225C1-Th1Fc1U4Z1B1-matrix.mtx.gz	DOWNLOADED	90379481		1	transfer_s=16.2	2026-09-12T06:31:14
WUSTL	syn61462200	HT225C1-Th1Fc1U5Z1B1-scalefactors_json.json	10X Visium	HTA12_132_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462200/HT225C1-Th1Fc1U5Z1B1-scalefactors_json.json	DOWNLOADED	166		1	transfer_s=6.5	2026-09-12T06:31:17
WUSTL	syn61462059	HT225C1-Th1Fc1U5Z1B1-tissue_lowres_image.png	10X Visium	HTA12_132_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462059/HT225C1-Th1Fc1U5Z1B1-tissue_lowres_image.png	DOWNLOADED	596463		1	transfer_s=6.4	2026-09-12T06:31:18
WUSTL	syn61462078	HT225C1-Th1Fc1U5Z1B1-tissue_positions_list.csv	10X Visium	HTA12_132_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462078/HT225C1-Th1Fc1U5Z1B1-tissue_positions_list.csv	DOWNLOADED	189676		1	transfer_s=4.0	2026-09-12T06:31:18
WUSTL	syn61462541	HT225C1-Th1Fc1U5Z1B1-matrix.mtx.gz	10X Visium	HTA12_132_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462541/HT225C1-Th1Fc1U5Z1B1-matrix.mtx.gz	DOWNLOADED	87302266		1	transfer_s=15.4	2026-09-12T06:31:20
WUSTL	syn61462311	HT226C1-Th1Fc1U1Z1Bn1-scalefactors_json.json	10X Visium	HTA12_260_4	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462311/HT226C1-Th1Fc1U1Z1Bn1-scalefactors_json.json	DOWNLOADED	166		1	transfer_s=3.7	2026-09-12T06:31:24
WUSTL	syn61462291	HT226C1-Th1Fc1U1Z1Bn1-features.tsv.gz	10X Visium	HTA12_260_4	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462291/HT226C1-Th1Fc1U1Z1Bn1-features.tsv.gz	DOWNLOADED	294383		1	transfer_s=6.3	2026-09-12T06:31:24
WUSTL	syn61462168	HT226C1-Th1Fc1U1Z1Bn1-barcodes.tsv.gz	10X Visium	HTA12_260_4	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462168/HT226C1-Th1Fc1U1Z1Bn1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.8	2026-09-12T06:31:24
