paper_sample_id	participant_id	biospecimen_id	parent_biospecimen_id	specimen_id	block_candidate	section_candidate	assay	platform	source_file	source_commit	evidence_grade
HT913Z1-S2H1Fp1U11	HT913Z1					11	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U21	HT913Z1					21	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S1H1Fp1U1	HT913Z1					1	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S1H1Fp1U11	HT913Z1					11	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S1H1Fp1U8	HT913Z1					8	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-H2L1Us1_9	HT206B1						Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1Us1_17	HT206B1						Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1Us1_1	HT206B1						Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1Us1_24	HT206B1						Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1Us1_8	HT206B1						Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1Us1_15	HT206B1						Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT704B1-S1H3Fp1U1	HT704B1					1	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U26	HT704B1					26	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U33	HT704B1					33	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U41	HT704B1					41	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U50	HT704B1					50	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U1Z1B1	HT206B1					1	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U2Z1B1	HT206B1					2	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U3Z1B1	HT206B1					3	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U4Z1B1	HT206B1					4	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U5Z1B1	HT206B1					5	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3Fs1U1Bp1	HT397B1					1	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H2Fs4U1Bp1	HT397B1					1	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U1Bp1	HT397B1					1	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U21Bp1	HT397B1					21	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U41Bp1	HT397B1					41	Visium	Visium	3d-analysis survey: 3d-analysis_he_reference_HTAN2 3D Prostate Breast Data Survey - Datafiles.csv	14f04c1b787991898380305702c31d52c19fa694	E1
