go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	18	13	7	6	GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS
GOBP_ALDEHYDE_CATABOLIC_PROCESS	14	4	2	2	GOBP_ALDEHYDE_CATABOLIC_PROCESS
GOBP_ALDEHYDE_METABOLIC_PROCESS	76	43	22	21	GOBP_ALDEHYDE_METABOLIC_PROCESS
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	5	4	2	2	GOBP_ALDITOL_BIOSYNTHETIC_PROCESS
GOBP_ALDITOL_METABOLIC_PROCESS	22	10	5	5	GOBP_ALDITOL_METABOLIC_PROCESS
GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	10	5	3	2	GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS
GOBP_ALDOSTERONE_SECRETION	8	6	3	3	GOBP_ALDOSTERONE_SECRETION
GOBP_ALKALOID_METABOLIC_PROCESS	6	4	2	2	GOBP_ALKALOID_METABOLIC_PROCESS
GOBP_ALKANESULFONATE_METABOLIC_PROCESS	10	7	4	3	GOBP_ALKANESULFONATE_METABOLIC_PROCESS
GOBP_ALKANESULFONATE_TRANSMEMBRANE_TRANSPORT	8	3	2	1	GOBP_ALKANESULFONATE_TRANSMEMBRANE_TRANSPORT
GOBP_ALLANTOIN_METABOLIC_PROCESS	10	6	3	3	GOBP_ALLANTOIN_METABOLIC_PROCESS
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	55	27	14	13	GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	201	101	51	50	GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	204	111	56	55	GOBP_ALPHA_BETA_T_CELL_ACTIVATION
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	140	72	36	36	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	47	25	13	12	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION
GOBP_ALPHA_KETOGLUTARATE_TRANSPORT	7	6	3	3	GOBP_ALPHA_KETOGLUTARATE_TRANSPORT
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS	16	9	5	4	GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	78	30	15	15	GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME
GOBP_AMACRINE_CELL_DIFFERENTIATION	13	8	4	4	GOBP_AMACRINE_CELL_DIFFERENTIATION
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	257	143	72	71	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION
GOBP_AMELOBLAST_DIFFERENTIATION	8	7	4	3	GOBP_AMELOBLAST_DIFFERENTIATION
GOBP_AMELOGENESIS	27	19	10	9	GOBP_AMELOGENESIS
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	176	90	45	45	GOBP_AMIDE_BIOSYNTHETIC_PROCESS
GOBP_AMIDE_CATABOLIC_PROCESS	17	8	4	4	GOBP_AMIDE_CATABOLIC_PROCESS
GOBP_AMIDE_METABOLIC_PROCESS	493	254	127	127	GOBP_AMIDE_METABOLIC_PROCESS
