go_id	raw_size	covered_size	reason
GOBP_ERBB4_ERBB4_SIGNALING_PATHWAY	6	2	covered<3
GOBP_ERK5_CASCADE	6	2	covered<3
GOBP_ERROR_FREE_TRANSLESION_SYNTHESIS	5	2	covered<3
GOBP_ESTABLISHMENT_OF_GOLGI_LOCALIZATION	8	2	covered<3
GOBP_ESTABLISHMENT_OF_LEFT_RIGHT_ASYMMETRY	8	2	covered<3
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	9	2	covered<3
GOBP_ESTABLISHMENT_OF_SERTOLI_CELL_BARRIER	5	2	covered<3
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY_REGULATING_CELL_SHAPE	5	1	covered<3
GOBP_EXONUCLEOLYTIC_TRIMMING_TO_GENERATE_MATURE_3_END_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7	1	covered<3
GOBP_FATTY_ACID_OMEGA_OXIDATION	6	2	covered<3
GOBP_FATTY_ACYL_COA_CATABOLIC_PROCESS	6	2	covered<3
GOBP_FC_RECEPTOR_MEDIATED_INHIBITORY_SIGNALING_PATHWAY	5	2	covered<3
GOBP_FOREBRAIN_RADIAL_GLIAL_CELL_DIFFERENTIATION	6	2	covered<3
GOBP_FORMATION_OF_ANATOMICAL_BOUNDARY	7	2	covered<3
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10	0	covered<3
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS_VIA_LACTOSYLCERAMIDE	6	2	covered<3
GOBP_GDP_MANNOSE_BIOSYNTHETIC_PROCESS	6	2	covered<3
GOBP_GLOSSOPHARYNGEAL_NERVE_DEVELOPMENT	5	2	covered<3
GOBP_GLUCOSYLCERAMIDE_CATABOLIC_PROCESS	8	1	covered<3
GOBP_GLUCOSYLCERAMIDE_METABOLIC_PROCESS	11	2	covered<3
GOBP_GLUTAMATE_BIOSYNTHETIC_PROCESS	5	2	covered<3
GOBP_GLUTAMATE_REUPTAKE	6	2	covered<3
GOBP_GLYCINE_BIOSYNTHETIC_PROCESS	5	2	covered<3
GOBP_GLYOXYLATE_METABOLIC_PROCESS	8	2	covered<3
GOBP_GOLGI_DISASSEMBLY	6	2	covered<3
GOBP_GOLGI_LUMEN_ACIDIFICATION	13	1	covered<3
GOBP_GOLGI_REASSEMBLY	5	1	covered<3
GOBP_GOLGI_RIBBON_FORMATION	11	2	covered<3
GOBP_GOLGI_VESICLE_BUDDING	10	2	covered<3
GOBP_GONADAL_MESODERM_DEVELOPMENT	9	2	covered<3
GOBP_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	11	2	covered<3
GOBP_GROWTH_INVOLVED_IN_HEART_MORPHOGENESIS	5	2	covered<3
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_CATABOLIC_PROCESS	10	2	covered<3
GOBP_HEPOXILIN_METABOLIC_PROCESS	8	2	covered<3
GOBP_HINDBRAIN_MATURATION	5	1	covered<3
GOBP_HRI_MEDIATED_SIGNALING	7	2	covered<3
GOBP_HYDROGEN_SULFIDE_METABOLIC_PROCESS	7	2	covered<3
GOBP_IMP_SALVAGE	5	2	covered<3
GOBP_INNER_EAR_RECEPTOR_CELL_FATE_COMMITMENT	5	2	covered<3
GOBP_INTERLEUKIN_11_MEDIATED_SIGNALING_PATHWAY	7	2	covered<3
GOBP_INTERLEUKIN_17A_MEDIATED_SIGNALING_PATHWAY	6	1	covered<3
GOBP_INTERLEUKIN_18_MEDIATED_SIGNALING_PATHWAY	10	2	covered<3
GOBP_INTERLEUKIN_21_PRODUCTION	7	1	covered<3
GOBP_INTERLEUKIN_33_MEDIATED_SIGNALING_PATHWAY	8	2	covered<3
GOBP_INTRACELLULAR_SPHINGOLIPID_HOMEOSTASIS	5	1	covered<3
GOBP_INTRACILIARY_ANTEROGRADE_TRANSPORT	19	2	covered<3
GOBP_INTRACILIARY_RETROGRADE_TRANSPORT	14	1	covered<3
GOBP_IP_10_PRODUCTION	5	2	covered<3
GOBP_LATE_ENDOSOME_TO_GOLGI_TRANSPORT	6	1	covered<3
GOBP_LEPTIN_MEDIATED_SIGNALING_PATHWAY	10	1	covered<3
GOBP_LEUKOTRIENE_SIGNALING_PATHWAY	5	2	covered<3
GOBP_LIPID_DROPLET_DISASSEMBLY	7	1	covered<3
GOBP_LIPID_DROPLET_FUSION	6	2	covered<3
GOBP_LIPOPHAGY	8	2	covered<3
GOBP_LIPOXIN_A4_METABOLIC_PROCESS	5	2	covered<3
GOBP_LNCRNA_MEDIATED_POST_TRANSCRIPTIONAL_GENE_SILENCING	11	0	covered<3
GOBP_L_LEUCINE_CATABOLIC_PROCESS	7	2	covered<3
GOBP_L_LEUCINE_IMPORT_ACROSS_PLASMA_MEMBRANE	5	2	covered<3
GOBP_L_SERINE_CATABOLIC_PROCESS	5	2	covered<3
GOBP_MACROMOLECULE_DEPALMITOYLATION	14	2	covered<3
GOBP_MAINTENANCE_OF_POSTSYNAPTIC_DENSITY_STRUCTURE	6	1	covered<3
GOBP_MALONYL_COA_METABOLIC_PROCESS	6	1	covered<3
GOBP_MANCHETTE_ASSEMBLY	10	2	covered<3
GOBP_MANNOSE_METABOLIC_PROCESS	10	1	covered<3
GOBP_MEDIUM_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS	6	2	covered<3
GOBP_MEIOTIC_ATTACHMENT_OF_TELOMERE_TO_NUCLEAR_ENVELOPE	5	2	covered<3
GOBP_MEIOTIC_CYTOKINESIS	8	1	covered<3
GOBP_MEIOTIC_SISTER_CHROMATID_COHESION_CENTROMERIC	5	2	covered<3
GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	6	2	covered<3
GOBP_MEMBRANE_TUBULATION	6	2	covered<3
GOBP_METANEPHRIC_PROXIMAL_TUBULE_DEVELOPMENT	5	2	covered<3
GOBP_METHYLGLYOXAL_METABOLIC_PROCESS	6	1	covered<3
GOBP_MIGRACYTOSIS	6	2	covered<3
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_MRNA_DESTABILIZATION	105	1	covered<3
GOBP_MITOCHONDRIAL_ADP_TRANSMEMBRANE_TRANSPORT	5	0	covered<3
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_SUCCINATE_TO_UBIQUINONE	5	1	covered<3
GOBP_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT_ASSEMBLY	8	1	covered<3
GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY	17	2	covered<3
GOBP_MITOCHONDRION_ENDOPLASMIC_RETICULUM_MEMBRANE_TETHERING	8	0	covered<3
GOBP_MODULATION_BY_HOST_OF_VIRAL_RNA_GENOME_REPLICATION	6	1	covered<3
GOBP_MODULATION_OF_MICROTUBULE_CYTOSKELETON_INVOLVED_IN_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION	5	0	covered<3
GOBP_MONOTERPENOID_METABOLIC_PROCESS	6	1	covered<3
GOBP_MRNA_3_END_PROCESSING_BY_STEM_LOOP_BINDING_AND_CLEAVAGE	6	1	covered<3
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23	1	covered<3
GOBP_MULTIVESICULAR_BODY_LYSOSOME_FUSION	12	2	covered<3
GOBP_MYELOID_DENDRITIC_CELL_CYTOKINE_PRODUCTION	7	2	covered<3
GOBP_MYOSIN_FILAMENT_ORGANIZATION	6	0	covered<3
GOBP_NAD_TRANSMEMBRANE_TRANSPORT	5	2	covered<3
GOBP_NAD_TRANSPORT	6	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_ASTROCYTE_ACTIVATION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGOSOME_MATURATION	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	7	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	9	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	5	0	covered<3
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	8	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	14	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR	5	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_CELL_VOLUME	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CENTRIOLE_REPLICATION	7	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_CENTROSOME_DUPLICATION	12	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CERAMIDE_BIOSYNTHETIC_PROCESS	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION	5	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	9	2	covered<3
GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION	6	1	covered<3
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	6	2	covered<3
