go_id	rep_id	n_input	n_readout	disc_QC_med	STCRC_mol	STCRC_dM1	STCRC_dM2	USZ_mol	USZ_dM1	USZ_dM2
GOBP_OLIGODENDROCYTE_DEVELOPMENT	GOBP_OLIGODENDROCYTE_DEVELOPMENT	16	15	0.0428	0.6475	4.53	4.26	0.4973	28.97	8.37
GOBP_OLIGODENDROCYTE_DIFFERENTIATION	GOBP_OLIGODENDROCYTE_DIFFERENTIATION	32	31	0.0423	0.7209	6.42	1.76	0.6136	71.14	14.80
GOBP_OLIGODENDROCYTE_PROGENITOR_PROLIFERATION	GOBP_OLIGODENDROCYTE_PROGENITOR_PROLIFERATION	2	1	0.0009	-0.0025	0.00	-0.03	0.0418	-0.20	-1.91
GOBP_OLIGOPEPTIDE_IMPORT_ACROSS_PLASMA_MEMBRANE	GOBP_OLIGOPEPTIDE_IMPORT_ACROSS_PLASMA_MEMBRANE	2	1	0.0265	0.0111	-0.11	0.12	0.0025	-0.03	0.04
GOBP_OLIGOPEPTIDE_TRANSPORT	GOBP_OLIGOPEPTIDE_TRANSPORT	5	5	0.0367	0.5578	2.69	3.18	0.2854	25.01	27.31
GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS	GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS	10	9	0.0601	0.5052	14.82	4.90	0.1013	11.93	4.76
GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS	GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS	4	4	0.0176	0.1988	-0.02	0.02	0.0784	1.78	1.38
GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS	GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS	18	18	0.0551	0.6041	13.44	6.55	0.2475	40.93	24.57
GOBP_OMEGA_HYDROXYLASE_P450_PATHWAY	GOBP_OMEGA_HYDROXYLASE_P450_PATHWAY	3	3	0.0063	0.0530	0.20	0.63	0.0091	0.01	0.20
GOBP_ONCOGENE_INDUCED_CELL_SENESCENCE	GOBP_ONCOGENE_INDUCED_CELL_SENESCENCE	2	2	0.0718	0.1672	0.46	0.23	0.2082	17.12	7.91
GOBP_ONE_CARBON_COMPOUND_TRANSPORT	GOBP_ONE_CARBON_COMPOUND_TRANSPORT	10	9	0.1972	0.0377	0.92	0.51	0.1893	0.54	0.76
GOBP_ONE_CARBON_METABOLIC_PROCESS	GOBP_ONE_CARBON_METABOLIC_PROCESS	6	6	0.0413	0.3915	8.43	5.61	0.2343	29.99	13.59
GOBP_OOCYTE_CONSTRUCTION	GOBP_OOCYTE_CONSTRUCTION	2	2	-0.0033	0.0244	0.01	0.04	0.0307	0.04	-0.02
GOBP_OOCYTE_DIFFERENTIATION	GOBP_OOCYTE_DIFFERENTIATION	17	16	0.0585	0.4790	5.01	2.17	0.1522	37.14	13.38
GOBP_OOCYTE_MATURATION	GOBP_OOCYTE_MATURATION	10	9	0.0271	0.4375	6.16	4.39	0.1401	39.55	20.76
GOBP_OOGENESIS	GOBP_OOGENESIS	30	29	0.0381	0.5795	2.17	0.83	0.2781	42.44	15.00
GOBP_OPSONIZATION	GOBP_OPSONIZATION	7	6	0.0446	0.1215	0.10	-0.20	0.0599	-0.81	-1.36
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	3	3	0.0180	0.0735	0.13	0.52	0.0548	-0.28	0.52
GOBP_OPTIC_NERVE_DEVELOPMENT	GOBP_OPTIC_NERVE_DEVELOPMENT	6	6	0.0307	0.1713	0.02	-0.03	0.0591	7.12	8.73
GOBP_OPTIC_NERVE_MORPHOGENESIS	GOBP_OPTIC_NERVE_MORPHOGENESIS	3	2	0.0717	0.0096	-0.01	-0.44	0.0290	0.29	-0.02
GOBP_ORGANELLE_ASSEMBLY	GOBP_ORGANELLE_ASSEMBLY	195	194	0.1741	0.9510	57.72	3.26	0.8950	94.25	9.50
GOBP_ORGANELLE_DISASSEMBLY	GOBP_ORGANELLE_DISASSEMBLY	10	10	0.0653	0.6981	14.56	4.79	0.4219	37.11	17.73
GOBP_ORGANELLE_FISSION	GOBP_ORGANELLE_FISSION	122	121	0.1968	0.9284	54.45	4.33	0.8074	93.98	9.60
GOBP_ORGANELLE_FUSION	GOBP_ORGANELLE_FUSION	32	31	0.0674	0.7347	1.68	2.98	0.5727	60.13	27.32
GOBP_ORGANELLE_INHERITANCE	GOBP_ORGANELLE_INHERITANCE	3	3	0.0160	0.4450	2.23	4.06	0.1021	47.20	34.22
GOBP_ORGANELLE_LOCALIZATION	GOBP_ORGANELLE_LOCALIZATION	128	128	0.1216	0.9376	50.33	7.09	0.8322	92.66	10.22
GOBP_ORGANELLE_MEMBRANE_FUSION	GOBP_ORGANELLE_MEMBRANE_FUSION	25	24	0.0475	0.7399	6.23	4.28	0.5243	51.12	23.00
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	16	15	0.0540	0.6586	3.99	2.56	0.4610	49.70	18.00
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	88	88	0.0872	0.9116	18.96	3.79	0.8412	77.19	12.25
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	63	62	0.0849	0.8567	19.86	3.97	0.6574	78.77	12.14
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	236	235	0.1637	0.9566	57.71	2.12	0.9315	94.99	5.35
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT	GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT	44	44	0.0665	0.7364	4.47	1.73	0.5333	66.78	20.70
GOBP_ORGANIC_ACID_TRANSPORT	GOBP_ORGANIC_ACID_TRANSPORT	105	105	0.0984	0.8470	21.50	3.94	0.8084	84.56	20.38
GOBP_ORGANIC_ANION_TRANSPORT	GOBP_ORGANIC_ANION_TRANSPORT	135	134	0.1305	0.9201	30.34	3.57	0.8315	75.77	15.72
GOBP_ORGANIC_CATION_TRANSPORT	GOBP_ORGANIC_CATION_TRANSPORT	35	35	0.0489	0.7168	4.59	2.65	0.4998	54.03	27.20
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	85	84	0.0822	0.8449	13.00	1.14	0.7864	60.42	13.32
GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE	GOBP_ORGANISM_EMERGENCE_FROM_PROTECTIVE_STRUCTURE	9	9	0.0176	0.4679	0.38	0.35	0.2342	35.31	20.88
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	138	137	0.1283	0.9619	43.07	1.88	0.8876	91.73	9.00
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS	GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS	56	56	0.0940	0.8662	24.72	3.98	0.8080	77.44	14.71
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	45	44	0.1172	0.8336	15.87	1.12	0.6271	71.45	7.79
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	251	250	0.1638	0.9756	62.47	3.41	0.9327	95.54	5.28
GOBP_ORGAN_GROWTH	GOBP_ORGAN_GROWTH	49	48	0.0541	0.7591	5.29	5.95	0.6353	66.41	15.89
GOBP_ORGAN_INDUCTION	GOBP_ORGAN_INDUCTION	8	7	0.0202	0.2261	2.06	6.79	0.1283	12.07	12.34
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	10	10	0.1430	0.2055	0.67	0.18	0.1741	0.34	0.58
GOBP_ORNITHINE_METABOLIC_PROCESS	GOBP_ORNITHINE_METABOLIC_PROCESS	2	2	0.0294	0.0781	0.01	0.31	0.0272	0.00	-0.04
GOBP_ORNITHINE_TRANSPORT	GOBP_L_LYSINE_TRANSPORT	2	2	0.0161	0.1216	-0.02	0.11	0.0278	9.42	10.79
GOBP_OSMOSENSORY_SIGNALING_PATHWAY	GOBP_OSMOSENSORY_SIGNALING_PATHWAY	4	3	0.0054	0.2837	0.21	0.89	0.0998	18.93	30.77
GOBP_OSSIFICATION	GOBP_OSSIFICATION	124	123	0.1288	0.9304	49.67	4.81	0.8659	89.00	4.80
GOBP_OSTEOBLAST_DEVELOPMENT	GOBP_OSTEOBLAST_DEVELOPMENT	5	4	0.0424	0.2045	1.02	1.56	0.0718	0.28	0.10
GOBP_OSTEOBLAST_DIFFERENTIATION	GOBP_OSTEOBLAST_DIFFERENTIATION	71	71	0.0876	0.8768	16.48	2.74	0.8306	86.66	14.80
GOBP_OSTEOBLAST_PROLIFERATION	GOBP_OSTEOBLAST_PROLIFERATION	10	9	0.0676	0.4188	24.69	10.55	0.3352	21.38	5.66
GOBP_OSTEOCLAST_DIFFERENTIATION	GOBP_OSTEOCLAST_DIFFERENTIATION	32	31	0.0474	0.7782	6.65	7.31	0.6482	47.09	26.26
GOBP_OSTEOCLAST_PROLIFERATION	GOBP_OSTEOCLAST_PROLIFERATION	3	3	0.0598	0.2720	-0.84	-2.02	0.1555	2.46	2.35
GOBP_OTIC_VESICLE_DEVELOPMENT	GOBP_OTIC_VESICLE_DEVELOPMENT	5	5	0.0280	0.1950	2.10	2.04	0.0451	3.25	4.33
GOBP_OTIC_VESICLE_FORMATION	GOBP_OTIC_VESICLE_FORMATION	3	2	0.0324	0.0370	-0.06	0.21	0.0280	16.82	31.16
GOBP_OTIC_VESICLE_MORPHOGENESIS	GOBP_OTIC_VESICLE_MORPHOGENESIS	4	3	0.0347	0.0308	-0.46	-0.45	0.0450	14.08	28.96
GOBP_OTOLITH_DEVELOPMENT	GOBP_OTOLITH_DEVELOPMENT	3	2	0.0453	0.1454	0.27	0.05	0.0166	0.28	0.44
GOBP_OUTER_DYNEIN_ARM_ASSEMBLY	GOBP_OUTER_DYNEIN_ARM_ASSEMBLY	2	2	-0.0013	-0.0105	-0.02	0.09	0.0088	0.01	0.14
GOBP_OUTER_EAR_MORPHOGENESIS	GOBP_OUTER_EAR_MORPHOGENESIS	3	3	0.0080	0.0037	-0.28	-0.18	0.0662	30.06	15.55
GOBP_OUTFLOW_TRACT_MORPHOGENESIS	GOBP_OUTFLOW_TRACT_MORPHOGENESIS	24	24	0.0633	0.6440	17.94	14.97	0.5809	41.66	11.14
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	9	8	0.0335	0.3043	0.90	1.71	0.1472	34.05	17.86
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	18	17	0.0493	0.5338	5.46	0.69	0.4251	28.52	13.44
GOBP_OVIDUCT_DEVELOPMENT	GOBP_OVIDUCT_DEVELOPMENT	3	2	0.0778	0.0095	-0.01	0.05	0.0053	0.17	0.03
GOBP_OVULATION	GOBP_OVULATION	6	5	0.0487	0.2888	-10.63	-4.56	0.2081	6.90	7.36
GOBP_OVULATION_CYCLE	GOBP_OVULATION_CYCLE	23	22	0.0464	0.6108	14.10	5.61	0.4089	25.98	14.27
GOBP_OVULATION_CYCLE_PROCESS	GOBP_OVULATION_CYCLE_PROCESS	17	16	0.0321	0.3044	15.51	9.94	0.2085	7.75	7.52
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	3	3	0.0161	0.2402	12.17	18.02	0.1106	1.24	2.11
GOBP_OXALATE_TRANSPORT	GOBP_OXALATE_TRANSPORT	3	2	0.1574	0.2283	25.21	4.11	0.0167	-0.02	0.23
GOBP_OXALOACETATE_METABOLIC_PROCESS	GOBP_OXALOACETATE_METABOLIC_PROCESS	3	3	0.0247	0.3115	0.20	0.08	0.1222	23.93	18.66
GOBP_OXIDATIVE_DEMETHYLATION	GOBP_OXIDATIVE_DEMETHYLATION	2	1	-0.0022	0.0154	0.01	0.10	-0.0047	-0.01	-0.02
GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_OXIDATIVE_PHOSPHORYLATION	32	31	0.1442	0.9515	57.52	4.70	0.8651	86.35	6.09
GOBP_OXYGEN_METABOLIC_PROCESS	GOBP_OXYGEN_METABOLIC_PROCESS	3	2	0.0243	0.0875	0.09	-0.05	0.0286	0.40	1.05
GOBP_OXYGEN_TRANSPORT	GOBP_OXYGEN_TRANSPORT	5	5	0.0183	0.3524	20.85	6.81	0.0948	4.44	3.15
GOBP_O_GLYCAN_PROCESSING	GOBP_O_GLYCAN_PROCESSING	14	14	0.0620	0.6040	5.64	1.00	0.2495	43.72	27.92
GOBP_P38MAPK_CASCADE	GOBP_P38MAPK_CASCADE	16	16	0.0886	0.7335	8.94	4.55	0.5461	31.19	12.28
GOBP_PALLIUM_DEVELOPMENT	GOBP_PALLIUM_DEVELOPMENT	47	46	0.1226	0.7778	7.72	2.56	0.6379	43.57	8.57
GOBP_PANCREAS_DEVELOPMENT	GOBP_PANCREAS_DEVELOPMENT	21	21	0.0330	0.5580	4.52	2.74	0.3164	25.59	8.48
GOBP_PANCREATIC_A_CELL_DIFFERENTIATION	GOBP_PANCREATIC_A_CELL_DIFFERENTIATION	3	2	0.0014	-0.0077	-0.29	0.00	-0.0034	-0.01	0.11
GOBP_PANCREATIC_JUICE_SECRETION	GOBP_PANCREATIC_JUICE_SECRETION	3	3	0.0611	0.1091	-0.84	-0.89	0.0466	-2.26	1.19
GOBP_PANTOTHENATE_METABOLIC_PROCESS	GOBP_PANTOTHENATE_METABOLIC_PROCESS	3	2	0.0043	0.0946	0.15	0.10	0.0456	2.25	1.63
GOBP_PARACELLULAR_TRANSPORT	GOBP_PARACELLULAR_TRANSPORT	3	3	0.0285	0.0809	-0.39	-0.21	0.0220	-0.21	-0.98
GOBP_PARACRINE_SIGNALING	GOBP_PARACRINE_SIGNALING	3	2	0.0244	0.0361	-0.06	-0.14	0.0639	0.29	0.20
GOBP_PARALLEL_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	GOBP_PARALLEL_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	3	2	0.0212	0.1878	0.00	-0.01	0.1164	0.14	0.40
GOBP_PARANODAL_JUNCTION_ASSEMBLY	GOBP_PARANODAL_JUNCTION_ASSEMBLY	3	2	0.0279	0.3364	0.41	-0.04	0.0840	4.11	1.05
GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	8	7	0.0123	0.3235	1.48	1.11	0.2082	32.59	27.46
GOBP_PARATHYROID_GLAND_DEVELOPMENT	GOBP_PARATHYROID_GLAND_DEVELOPMENT	3	3	0.0024	0.0282	-0.06	-0.53	0.0345	28.13	34.09
GOBP_PARAXIAL_MESODERM_DEVELOPMENT	GOBP_PARAXIAL_MESODERM_DEVELOPMENT	6	6	0.0116	0.1470	-1.19	-4.26	0.0915	14.12	8.87
GOBP_PARAXIAL_MESODERM_FORMATION	GOBP_PARAXIAL_MESODERM_FORMATION	3	3	0.0236	0.0889	1.85	5.08	0.0677	1.19	2.71
GOBP_PARAXIAL_MESODERM_MORPHOGENESIS	GOBP_PARAXIAL_MESODERM_FORMATION	3	3	0.0236	0.0889	1.85	5.08	0.0677	1.19	2.71
GOBP_PARENTAL_BEHAVIOR	GOBP_PARENTAL_BEHAVIOR	5	5	0.0255	0.0374	-0.24	0.26	0.0008	0.00	-0.08
GOBP_PARTURITION	GOBP_PARTURITION	5	5	0.0198	0.1907	4.11	4.14	0.0703	-0.45	-1.04
GOBP_PATTERN_SPECIFICATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	GOBP_PATTERN_SPECIFICATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	4	4	0.0188	0.0442	3.06	3.05	0.1141	0.79	1.35
GOBP_PATTERN_SPECIFICATION_PROCESS	GOBP_PATTERN_SPECIFICATION_PROCESS	134	134	0.0937	0.8704	40.29	5.34	0.8084	86.20	18.94
GOBP_PENETRATION_OF_ZONA_PELLUCIDA	GOBP_PENETRATION_OF_ZONA_PELLUCIDA	3	3	0.0265	0.2117	0.22	0.41	0.0614	5.83	8.06
GOBP_PENTOSE_METABOLIC_PROCESS	GOBP_PENTOSE_METABOLIC_PROCESS	3	3	0.0121	0.2686	0.65	0.15	0.1108	27.06	35.58
GOBP_PENTOSE_PHOSPHATE_SHUNT	GOBP_PENTOSE_PHOSPHATE_SHUNT	5	4	0.0510	0.4199	4.17	4.43	0.2739	51.48	26.80
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX	GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX	7	6	0.1422	0.7902	57.17	14.50	0.6689	-0.89	3.24
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_I_PROTEIN_COMPLEX	GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_I_PROTEIN_COMPLEX	2	1	0.0678	0.8407	6.35	2.25	0.6256	11.18	5.20
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX	8	7	0.0872	0.8619	72.72	18.45	0.7232	34.89	8.66
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	6	6	0.0839	0.3435	-2.08	-1.06	0.1880	2.10	4.75
GOBP_PEPTIDE_CATABOLIC_PROCESS	GOBP_PEPTIDE_CATABOLIC_PROCESS	5	5	0.0459	0.2783	0.50	1.30	0.1366	6.45	4.21
GOBP_PEPTIDE_CROSS_LINKING	GOBP_PEPTIDE_CROSS_LINKING	8	8	0.1602	0.6601	7.37	0.39	0.5667	20.89	4.54
GOBP_PEPTIDE_METABOLIC_PROCESS	GOBP_PEPTIDE_METABOLIC_PROCESS	17	16	0.0565	0.6121	0.37	0.02	0.4221	9.88	1.60
GOBP_PEPTIDE_MODIFICATION	GOBP_PEPTIDE_MODIFICATION	2	2	-0.0006	0.0661	0.07	0.12	0.0457	5.71	11.88
GOBP_PEPTIDE_TRANSPORT	GOBP_PEPTIDE_TRANSPORT	84	83	0.0790	0.8700	20.99	4.12	0.7336	69.28	14.46
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	2	2	-0.0053	-0.0046	0.00	0.00	0.0185	1.86	1.75
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	91	91	0.0884	0.8965	24.46	3.13	0.8079	85.13	12.72
GOBP_PEPTIDYL_CYSTEINE_MODIFICATION	GOBP_PEPTIDYL_CYSTEINE_MODIFICATION	4	4	0.0254	0.5603	11.78	14.12	0.2833	45.16	20.11
GOBP_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION	GOBP_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION	6	5	0.0103	0.1680	0.20	0.61	0.0687	9.96	11.87
GOBP_PEPTIDYL_LYSINE_ACETYLATION	GOBP_PEPTIDYL_LYSINE_ACETYLATION	3	3	0.0190	0.2000	0.14	0.28	0.0822	9.46	10.79
GOBP_PEPTIDYL_LYSINE_METHYLATION	GOBP_PEPTIDYL_LYSINE_METHYLATION	3	2	0.0115	0.1822	0.56	1.41	0.0766	10.71	21.52
GOBP_PEPTIDYL_LYSINE_MODIFICATION	GOBP_PEPTIDYL_LYSINE_MODIFICATION	20	19	0.0585	0.7275	6.68	2.89	0.4804	48.36	24.49
GOBP_PEPTIDYL_L_CYSTEINE_S_PALMITOYLATION	GOBP_PEPTIDYL_L_CYSTEINE_S_PALMITOYLATION	2	2	0.0283	0.2798	1.18	1.19	0.1083	22.57	21.62
GOBP_PEPTIDYL_PROLINE_MODIFICATION	GOBP_PEPTIDYL_PROLINE_MODIFICATION	2	1	0.0597	0.1721	-0.30	-0.07	0.1525	1.97	0.51
GOBP_PEPTIDYL_SERINE_MODIFICATION	GOBP_PEPTIDYL_SERINE_MODIFICATION	19	19	0.0561	0.6498	6.40	6.17	0.3490	56.58	10.28
GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION	GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION	2	2	-0.0015	0.1787	-0.77	-4.05	0.0386	-0.35	-1.80
GOBP_PEPTIDYL_THREONINE_MODIFICATION	GOBP_PEPTIDYL_THREONINE_MODIFICATION	11	11	0.0464	0.4694	1.54	1.65	0.2198	39.55	10.18
GOBP_PEPTIDYL_THREONINE_PHOSPHORYLATION	GOBP_PEPTIDYL_THREONINE_PHOSPHORYLATION	9	8	0.0427	0.3328	0.57	0.91	0.1701	25.30	13.62
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	3	3	0.0256	0.1029	0.08	0.16	0.0537	0.44	2.18
GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	5	4	0.0287	0.3186	1.26	2.49	0.2810	25.15	36.12
GOBP_PEPTIDYL_TYROSINE_MODIFICATION	GOBP_PEPTIDYL_TYROSINE_MODIFICATION	37	37	0.0380	0.7497	11.14	6.12	0.6075	25.52	19.62
GOBP_PERICARDIUM_DEVELOPMENT	GOBP_PERICARDIUM_DEVELOPMENT	6	5	0.0153	0.1110	-0.03	-0.04	0.1116	0.59	1.33
GOBP_PERICARDIUM_MORPHOGENESIS	GOBP_PERICARDIUM_MORPHOGENESIS	3	3	0.0251	0.0156	-0.67	-0.82	0.0730	11.56	13.46
GOBP_PERICENTRIC_HETEROCHROMATIN_FORMATION	GOBP_PERICENTRIC_HETEROCHROMATIN_FORMATION	2	1	0.0078	0.1400	0.29	0.31	0.0480	17.20	22.75
GOBP_PERICYTE_CELL_DIFFERENTIATION	GOBP_PERICYTE_CELL_DIFFERENTIATION	6	5	0.0746	0.2504	-6.03	-2.84	0.2009	-0.01	-0.18
GOBP_PERIPHERAL_NERVOUS_SYSTEM_AXON_ENSHEATHMENT	GOBP_PERIPHERAL_NERVOUS_SYSTEM_AXON_ENSHEATHMENT	8	8	0.0883	0.4366	-0.21	-0.08	0.4020	13.39	7.63
GOBP_PERIPHERAL_NERVOUS_SYSTEM_AXON_REGENERATION	GOBP_PERIPHERAL_NERVOUS_SYSTEM_AXON_REGENERATION	4	4	0.0344	0.2170	1.13	1.92	0.2287	14.86	9.54
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	27	26	0.0422	0.7144	6.36	2.32	0.5883	66.18	26.64
GOBP_PERIPHERAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE	GOBP_PERIPHERAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE	3	2	0.0760	0.4853	-0.19	-0.30	0.3065	11.85	8.54
GOBP_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	GOBP_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	6	6	0.0258	0.1916	0.50	0.41	0.1125	25.42	13.75
GOBP_PERISTALSIS	GOBP_PERISTALSIS	5	5	-0.0008	0.0541	0.19	0.17	0.0324	0.10	0.46
GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	5	5	0.0958	0.5489	5.42	5.50	0.4538	18.32	8.35
GOBP_PEROXISOMAL_TRANSPORT	GOBP_PEROXISOMAL_TRANSPORT	3	2	0.0049	0.2608	0.55	1.61	0.0852	18.88	22.95
GOBP_PEROXISOME_FISSION	GOBP_PEROXISOME_FISSION	2	1	0.0105	0.1390	-0.03	0.01	0.0599	10.13	22.99
GOBP_PEROXISOME_ORGANIZATION	GOBP_PEROXISOME_ORGANIZATION	5	5	0.0389	0.3829	1.95	1.50	0.1371	20.59	19.06
GOBP_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	GOBP_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	5	4	0.0256	0.2988	0.32	0.81	0.1585	20.01	22.59
GOBP_PHAGOCYTOSIS	GOBP_PHAGOCYTOSIS	60	60	0.0644	0.8339	19.21	5.83	0.8121	38.39	1.17
GOBP_PHAGOCYTOSIS_ENGULFMENT	GOBP_PHAGOCYTOSIS_ENGULFMENT	14	14	0.0713	0.6665	9.07	5.78	0.5979	25.79	10.61
GOBP_PHAGOCYTOSIS_RECOGNITION	GOBP_PHAGOCYTOSIS_RECOGNITION	12	11	0.0280	0.2536	0.79	0.28	0.1789	3.47	3.65
GOBP_PHAGOLYSOSOME_ASSEMBLY	GOBP_PHAGOLYSOSOME_ASSEMBLY	4	4	0.0236	0.2877	0.91	1.09	0.1318	-0.29	-0.69
GOBP_PHAGOSOME_ACIDIFICATION	GOBP_PHAGOSOME_ACIDIFICATION	2	1	0.0034	0.1398	0.26	0.46	0.0619	3.11	11.65
GOBP_PHAGOSOME_LYSOSOME_FUSION	GOBP_PHAGOSOME_LYSOSOME_FUSION	3	2	0.0179	0.0698	-0.07	-0.17	0.0552	12.72	11.72
GOBP_PHAGOSOME_MATURATION	GOBP_PHAGOSOME_MATURATION	7	7	0.0277	0.4121	1.23	2.87	0.1933	6.45	8.59
GOBP_PHARYNGEAL_ARCH_ARTERY_MORPHOGENESIS	GOBP_PHARYNGEAL_ARCH_ARTERY_MORPHOGENESIS	4	3	0.0287	0.1550	-0.66	-0.49	0.1023	0.89	2.21
GOBP_PHARYNGEAL_SYSTEM_DEVELOPMENT	GOBP_PHARYNGEAL_SYSTEM_DEVELOPMENT	13	12	0.0041	0.2936	2.58	3.54	0.2243	14.70	0.71
GOBP_PHASIC_SMOOTH_MUSCLE_CONTRACTION	GOBP_PHASIC_SMOOTH_MUSCLE_CONTRACTION	10	9	0.0306	0.1998	0.54	1.05	0.1110	14.55	15.88
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	18	17	0.0345	0.4273	0.41	0.35	0.3468	31.72	24.27
GOBP_PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS	GOBP_PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS	4	3	0.0335	0.0714	0.63	3.71	0.0273	0.22	0.18
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	42	41	0.0590	0.6378	3.59	0.92	0.5617	57.02	13.59
